"year","geography_id","metric_id","value","unit","provider","status","comparability_status","construct"
"2015","california-selected-institution-frame","openalex-ai-subfield-unique-works","1748","unique works","OpenAlex","OBSERVED_PUBLIC_DATA","DIRECTLY_COMPARABLE","RESEARCH_ACTIVITY_PROXY"
"2016","california-selected-institution-frame","openalex-ai-subfield-unique-works","1760","unique works","OpenAlex","OBSERVED_PUBLIC_DATA","DIRECTLY_COMPARABLE","RESEARCH_ACTIVITY_PROXY"
"2017","california-selected-institution-frame","openalex-ai-subfield-unique-works","2107","unique works","OpenAlex","OBSERVED_PUBLIC_DATA","DIRECTLY_COMPARABLE","RESEARCH_ACTIVITY_PROXY"
"2018","california-selected-institution-frame","openalex-ai-subfield-unique-works","2867","unique works","OpenAlex","OBSERVED_PUBLIC_DATA","DIRECTLY_COMPARABLE","RESEARCH_ACTIVITY_PROXY"
"2019","california-selected-institution-frame","openalex-ai-subfield-unique-works","4035","unique works","OpenAlex","OBSERVED_PUBLIC_DATA","DIRECTLY_COMPARABLE","RESEARCH_ACTIVITY_PROXY"
"2020","california-selected-institution-frame","openalex-ai-subfield-unique-works","4863","unique works","OpenAlex","OBSERVED_PUBLIC_DATA","DIRECTLY_COMPARABLE","RESEARCH_ACTIVITY_PROXY"
"2021","california-selected-institution-frame","openalex-ai-subfield-unique-works","4865","unique works","OpenAlex","OBSERVED_PUBLIC_DATA","DIRECTLY_COMPARABLE","RESEARCH_ACTIVITY_PROXY"
"2022","california-selected-institution-frame","openalex-ai-subfield-unique-works","3063","unique works","OpenAlex","OBSERVED_PUBLIC_DATA","DIRECTLY_COMPARABLE","RESEARCH_ACTIVITY_PROXY"
"2023","california-selected-institution-frame","openalex-ai-subfield-unique-works","3546","unique works","OpenAlex","OBSERVED_PUBLIC_DATA","DIRECTLY_COMPARABLE","RESEARCH_ACTIVITY_PROXY"
"2024","california-selected-institution-frame","openalex-ai-subfield-unique-works","3084","unique works","OpenAlex","OBSERVED_PUBLIC_DATA","DIRECTLY_COMPARABLE","RESEARCH_ACTIVITY_PROXY"
"2025","california-selected-institution-frame","openalex-ai-subfield-unique-works","3510","unique works","OpenAlex","OBSERVED_PUBLIC_DATA","DIRECTLY_COMPARABLE","RESEARCH_ACTIVITY_PROXY"
