"award_id","title","recipient_name","recipient_city","award_date","start_date","expiration_date","funds_obligated_usd","estimated_total_usd","program","transaction_type","active","source"
"2522494","Collaborative Research: AIMing: Synergistic Advancement of AI and Mathematics","California Institute of Technology","PASADENA","12/30/2025","01/01/2026","12/31/2028","400000","400000","MSPA-INTERDISCIPLINARY, Special Projects - CCF, IIS Special Projects","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2522494"
"2522495","Collaborative Research: AIMing: Synergistic Advancement of AI and Mathematics","University of California-Los Angeles","LOS ANGELES","12/30/2025","01/01/2026","12/31/2028","400000","400000","IIS Special Projects, MSPA-INTERDISCIPLINARY, Special Projects - CCF","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2522495"
"2519917","Collaborative Research: EPIIC: Accelerating sustainable partnerships for innovation, research, and entrepreneurship in AI (ASPIRE-AI)","CSUB Auxiliary for Sponsored Programs Administration","Bakersfield","09/18/2025","10/01/2025","09/30/2028","399226","399226","EPIIC-Enbl Part Incr Innov Cap","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2519917"
"2519919","Collaborative Research: EPIIC: Accelerating sustainable partnerships for innovation, research, and entrepreneurship in AI (ASPIRE-AI)","University of San Francisco","SAN FRANCISCO","09/18/2025","10/01/2025","09/30/2028","399576","399576","EPIIC-Enbl Part Incr Innov Cap","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2519919"
"2506612","Towards a Large Language Model-based Smart Learning Hub for Computing Education","University of California-San Diego","LA JOLLA","09/10/2025","10/01/2025","09/30/2028","900000","900000","Cyberlearn & Future Learn Tech","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2506612"
"2524227","Collaborative Research: Promoting Regional Opportunities for Practical and Engaged Learning in Artificial Intelligence","University Enterprises Corporation at CSUSB","SAN BERNARDINO","09/10/2025","10/01/2025","09/30/2030","600000","600000","HSI-Hispanic Serving Instituti","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2524227"
"2524228","Collaborative Research: Promoting Regional Opportunities for Practical and Engaged Learning in Artificial Intelligence","University of California-Riverside","RIVERSIDE","09/10/2025","10/01/2025","09/30/2030","400000","400000","HSI-Hispanic Serving Instituti","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2524228"
"2445525","AI Innovators: Engaging Youth in Co-Design of AI Museum Exhibits to Foster AI Literacy & Engineering Design Skills for STEM Futures","University of California-Berkeley","BERKELEY","09/02/2025","09/15/2025","08/31/2029","1299797","1299797","ITEST-Inov Tech Exp Stu & Teac","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2445525"
"2509929","Building Data Fluency and Generative AI Literacy Through Data Adventures","WestEd","SAN FRANCISCO","08/27/2025","09/01/2025","08/31/2028","1463000","1463000","ITEST-Inov Tech Exp Stu & Teac, Discovery Research K-12","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2509929"
"2542375","Conference: Building scientific capacity for artificial intelligence","Loyola Marymount University","LOS ANGELES","08/27/2025","09/01/2025","02/28/2027","50000","50000","Linguistics, DLI-Dyn Language Infrastructur","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2542375"
"2500101","Exploration and adaptation of experience sampling to understand the impact of artificial intelligence tools on the work of teaching","Stanford University","STANFORD","08/26/2025","09/01/2025","08/31/2028","499715","499715","ITEST-Inov Tech Exp Stu & Teac, ECR-EDU Core Research","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2500101"
"2448486","Robert Noyce Teacher Scholarship Program Track 2 Project: Creating STEM Teacher Fellows To Leverage AI","University of California-Davis","DAVIS","08/25/2025","10/01/2025","09/30/2030","1715167","1715167","Robert Noyce Scholarship Pgm","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2448486"
"2536920","Collaborative Research: SCALE MoDL: Adaptivity of Deep Neural Networks","University of California-San Diego","LA JOLLA","08/22/2025","10/01/2024","09/30/2026","147448","299966","OFFICE OF MULTIDISCIPLINARY AC, Special Projects - CCF, IIS Special Projects, CDS&E-MSS","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2536920"
"2518849","Collaborative Research: From Awareness to Action: Integrating responsible Artificial Intelligence Practice into Undergraduate Engineering Education","Chapman University","ORANGE","08/21/2025","10/15/2025","09/30/2028","149951","149951","IUSE","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2518849"
"2441132","CAREER: Physics-Informed Deep Learning for Ice Dynamics","Stanford University","STANFORD","08/19/2025","09/01/2025","08/31/2030","738807","738807","ANT Glaciology","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2441132"
"2520253","ASCENT: Wafer-scale Heterogeneous Integration of Lithium-Niobate-on-Silicon Optoelectronics for Ultralow-energy AI computing","University of California-Berkeley","BERKELEY","08/19/2025","10/01/2025","09/30/2029","1130000","1490000","NSF-Intel Semiconductr Partnrs, ASCENT-Address-Chalg-Eng-Teams","Continuing Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2520253"
"2523829","Collaborative Research: CISE Crosscutting Small: CPS: AI-Powered Autonomous Systems for Dynamic In-Air Operations","San Diego State University Foundation","SAN DIEGO","08/19/2025","09/01/2025","08/31/2028","320000","320000","HCC-Human-Centered Computing","Standard Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2523829"
"2520333","Collaborative Research: ASCENT: Heterogeneously Integrated Electronic Photonic AI Accelerators (HIEPAA)","University of California-San Diego","LA JOLLA","08/18/2025","10/01/2025","09/30/2028","400000","500000","ASCENT-Address-Chalg-Eng-Teams, NSF-Intel Semiconductr Partnrs","Continuing Grant","true","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2520333"
